,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,atr_60_zsarctan_w20,vol_ratio_deviation,realized_vol_20_zsarctan_w20,realized_vol_60_zsarctan_w20,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,rsi_extreme,bb_position,hour_sin,hour_cos,dow_sin,dow_cos
low_swing_slope_h1_zsarctan,0.005314220502378133,0.040503762429702,0.18149376461944766,-0.08576243767013797,-0.026613573341807722,-0.05080822924048438,-0.07577329607749848,-0.1222078953854445,-0.09461199267053236,-0.08830750180058393,-0.13246355329018686,0.4409580213085124,-0.089615832506013,-0.36213338805356,0.025291564022153348,1.0,-0.010492991122239342,-0.012246029427848398,-0.16594878925495696,0.1287055369831108,0.07857322922160297,0.0019594585350886833,0.0013181081665855033,0.0013180202185769825,-0.0008234469221713857
high_swing_slope_m1_zsarctan_w20,0.02973755144180321,0.29346558664750205,-0.0012126498433252637,-0.003023205941700625,0.476984258471555,-0.01500669123743946,-0.02398785590827154,-0.004349285664719153,-0.024820533051844243,-0.02262618043497652,-0.001785538322020094,0.01385840666428092,0.18877822298210936,-0.0003389673492132756,-0.013293809742454858,-0.010492991122239342,1.0,0.29135400294739894,0.02980001240723677,0.21401917186185462,0.3059189308617167,-0.002207410423003937,-0.001444977056503011,8.06593727895287e-05,0.00021808090245629426
low_swing_slope_m1_zsarctan_w20,0.029906755736237148,0.29585183137113646,-0.003572307455095729,-0.003314908428489116,0.4760888010660697,0.023440810173963156,0.006819789001123708,0.012628624946274824,0.04373073894524753,0.022346075442203253,0.0032772190526626803,0.012156981732619454,0.18935985428306637,0.007658603940287826,-0.012715807104709886,-0.012246029427848398,0.29135400294739894,1.0,0.03196617434329073,0.20949174513645913,0.2999269890280833,0.00013369325198187235,0.0014719899836904658,0.0004322507288547365,0.00041108175633211086
combo_geometric,0.014783631943058869,-0.04586731166160971,-0.3782823110921088,-0.007355016760223085,0.08223545174403013,0.04241107641116552,0.016403481040802914,0.045110280021182475,0.023260410860452895,0.017234593164367117,0.03350312056545711,-0.02647600885457819,0.21862623613411594,0.003441355952070189,-0.18098511693501965,-0.16594878925495696,0.02980001240723677,0.03196617434329073,1.0,-0.28153213819180123,-0.1702774679246404,-0.0005409127182619143,0.0008745180814375586,-0.01146209500590687,-0.004844262265191812
rsi_extreme,0.31364656526326096,0.5971435770262765,0.5352281531863092,0.01683825758410875,0.409561946243084,-0.04146367731061879,-0.050283358210960055,-0.050901584783330366,-0.04739028653530306,-0.044770185017860446,-0.04716099731486857,0.11203853564727548,0.4114336188910061,-0.009447133398555076,0.13085643929112076,0.1287055369831108,0.21401917186185462,0.20949174513645913,-0.28153213819180123,1.0,0.8906576110365642,0.002751553048679438,-0.008127298112423388,0.015200977237021464,0.008167084827611698
bb_position,0.37890945151338523,0.6416061142551968,0.3346798753448345,0.010177479652454255,0.5917900590599454,-0.021523205722772734,-0.04216235069059875,-0.02723549596438526,-0.027151047188175424,-0.03442049507091859,-0.026897941642434926,0.08580275196979102,0.44791449511690895,-0.007421597216382647,0.07608302299571047,0.07857322922160297,0.3059189308617167,0.2999269890280833,-0.1702774679246404,0.8906576110365642,1.0,0.0018266822219865579,-0.004611964253430741,0.00916184617896496,0.0051285651612296805
hour_sin,0.0002770405767047351,0.0005373932394123196,-0.00015276350991948501,0.024094303843891253,0.0007332775351494223,0.31189969180668475,0.008200364688717392,0.028070634321541423,0.04058794406000053,0.0074245409574015125,0.01660541647011243,-0.005553494099581862,0.0013817217059416556,0.004914189539148969,-0.0007409772350433025,0.0019594585350886833,-0.002207410423003937,0.00013369325198187235,-0.0005409127182619143,0.002751553048679438,0.0018266822219865579,1.0,-0.005351959770308803,-0.0002754757649622784,0.0021047866700157343
hour_cos,-0.0012714037181158903,-0.0030361095542039114,-0.01053850880398449,-0.0014105209151407594,-0.0005540791821509163,-0.04636410064682558,0.04591532295514108,0.10920900963798176,0.07566904425721896,0.03476222311155991,0.06870933995989555,-0.0008261025786178032,-0.0015757672822641561,0.0278380506090597,0.00043471901441891406,0.0013181081665855033,-0.001444977056503011,0.0014719899836904658,0.0008745180814375586,-0.008127298112423388,-0.004611964253430741,-0.005351959770308803,1.0,-0.000789570018552532,0.001184249443879616
dow_sin,0.0023587416854387697,0.0053468725429650235,0.019342433371532457,0.0009288254885792367,0.0007230268328038572,-0.06105729695692277,0.004046637475947702,0.0004604593985102222,0.002663758785657208,0.0021760993034919958,0.001340625977616865,0.0008276864262441916,0.0006815310549464302,1.2200815756274955e-05,-0.0013381761311906774,0.0013180202185769825,8.06593727895287e-05,0.0004322507288547365,-0.01146209500590687,0.015200977237021464,0.00916184617896496,-0.0002754757649622784,-0.000789570018552532,1.0,-0.0020697551689213005
dow_cos,0.0008942729748709985,0.0020313469190135353,0.006592883853997646,0.012670569748025384,0.0006545325865789672,0.009628578692919013,-0.001996929525560253,-0.00362318360788367,-0.005086450979324618,-0.0021589527843230583,-0.0036933394623881338,-0.0011570858288732085,-0.0016008718015514897,-0.0017517508202311175,-0.0009471057816723536,-0.0008234469221713857,0.00021808090245629426,0.00041108175633211086,-0.004844262265191812,0.008167084827611698,0.0051285651612296805,0.0021047866700157343,0.001184249443879616,-0.0020697551689213005,1.0
